applicant_name,role,city_type,previous_ctc,previous_job_switches,graduation_marks,previous_exp,expected_ctc,Unnamed: 8
Applicant 25,Executive,Metro,"  49,857.00 ",3.0,37.0,37.0,"  71,502.56 ",
Applicant 26,Executive,Non-Metro,"  48,682.00 ",3.0,82.0,59.0,"  64,320.67 ",
Applicant 27,Executive,Non-Metro,"  48,516.00 ",2.0,37.0,63.0,"  77,310.22 ",
Applicant 28,Executive,Non-Metro,"  54,363.00 ",3.0,44.0,55.0,"  74,825.20 ",
Applicant 29,Executive,Metro,"  39,636.00 ",3.0,43.0,23.0,"  59,230.44 ",
Applicant 30,Manager,Metro,"  65,172.00 ",1.0,44.0,31.0,"  107,138.14 ",
Applicant 31,Manager,Metro,"  58,529.00 ",1.0,65.0,22.0,"  102,763.61 ",
Applicant 32,Executive,Non-Metro,"  50,011.00 ",2.0,72.0,18.0,"  69,764.49 ",
Applicant 33,Executive,Non-Metro,"  50,020.00 ",4.0,75.0,19.0,"  59,889.14 ",
Applicant 34,Executive,Metro,"  55,764.00 ",2.0,64.0,63.0,"  82,356.41 ",
Applicant 35,Manager,Metro,"  60,894.00 ",4.0,80.0,28.0,"  118,651.89 ",
Applicant 36,Executive,Metro,"  42,259.00 ",4.0,37.0,19.0,"  66,762.27 ",
Applicant 37,Executive,Non-Metro,"  59,978.00 ",2.0,75.0,62.0,"  79,454.74 ",
Applicant 38,Executive,Metro,"  47,129.00 ",1.0,41.0,26.0,"  66,079.85 ",
Applicant 39,Manager,Metro,"  57,485.00 ",1.0,77.0,35.0,"  103,774.34 ",
Applicant 40,Manager,Metro,"  62,593.00 ",3.0,71.0,60.0,"  112,716.44 ",
Applicant 41,Executive,Non-Metro,"  48,913.00 ",3.0,41.0,24.0,"  62,819.16 ",
Applicant 42,Executive,Non-Metro,"  66,101.00 ",4.0,81.0,31.0,"  55,470.55 ",
Applicant 43,Executive,Metro,"  49,622.00 ",2.0,73.0,41.0,"  69,510.05 ",
Applicant 44,Executive,Non-Metro,"  59,386.00 ",4.0,46.0,37.0,"  68,064.76 ",
Applicant 45,Executive,Metro,"  66,050.00 ",1.0,35.0,38.0,"  69,116.93 ",
Applicant 46,Executive,Metro,"  59,492.00 ",1.0,69.0,55.0,"  86,354.84 ",
Applicant 47,Executive,Non-Metro,"  61,134.00 ",3.0,72.0,18.0,"  60,456.69 ",
Applicant 48,Executive,Non-Metro,"  61,956.00 ",4.0,54.0,28.0,"  71,791.28 ",
Applicant 49,Executive,Non-Metro,"  46,086.00 ",4.0,50.0,60.0,"  67,626.89 ",
Applicant 50,Manager,Metro,"  61,481.00 ",3.0,79.0,36.0,"  99,794.40 ",
Applicant 51,Executive,Non-Metro,"  55,727.00 ",3.0,79.0,18.0,"  70,350.79 ",
Applicant 52,Executive,Non-Metro,"  61,576.00 ",2.0,73.0,21.0,"  58,818.77 ",
Applicant 53,Manager,Metro,"  57,563.00 ",1.0,64.0,48.0,"  86,487.58 ",
Applicant 54,Manager,Metro,"  58,288.00 ",3.0,84.0,36.0,"  92,378.50 ",
Applicant 55,Executive,Non-Metro,"  55,282.00 ",3.0,60.0,40.0,"  73,281.55 ",
Applicant 56,Manager,Metro,"  66,624.00 ",1.0,63.0,58.0,"  110,438.17 ",
Applicant 57,Executive,Non-Metro,"  59,443.00 ",3.0,52.0,58.0,"  67,485.10 ",
Applicant 58,Manager,Metro,"  51,937.00 ",3.0,64.0,18.0,"  92,518.37 ",
Applicant 59,Manager,Non-Metro,"  46,477.00 ",3.0,37.0,53.0,"  72,977.63 ",
Applicant 60,Executive,Non-Metro,"  62,470.00 ",3.0,60.0,34.0,"  64,770.75 ",
Applicant 61,Executive,Metro,"  51,123.00 ",2.0,52.0,43.0,"  74,845.87 ",
Applicant 62,Executive,Metro,"  56,301.00 ",3.0,58.0,25.0,"  59,913.31 ",
Applicant 63,Executive,Metro,"  46,670.00 ",1.0,69.0,64.0,"  95,961.18 ",
Applicant 64,Executive,Non-Metro,"  54,375.00 ",2.0,82.0,28.0,"  60,766.38 ",
Applicant 65,Manager,Non-Metro,"  45,227.00 ",4.0,40.0,20.0,"  69,193.96 ",
Applicant 66,Executive,Non-Metro,"  50,787.00 ",4.0,81.0,19.0,"  66,433.40 ",
Applicant 67,Executive,Non-Metro,"  62,919.00 ",3.0,42.0,61.0,"  73,410.95 ",
Applicant 68,Executive,Metro,"  51,770.00 ",3.0,45.0,40.0,"  68,447.63 ",
Applicant 69,Executive,Non-Metro,"  60,123.00 ",1.0,47.0,40.0,"  60,185.40 ",
Applicant 70,Manager,Metro,"  51,002.00 ",4.0,41.0,28.0,"  76,765.02 ",
Applicant 71,Manager,Non-Metro,"  46,940.00 ",1.0,69.0,27.0,"  70,157.03 ",
Applicant 72,Executive,Metro,"  49,905.00 ",4.0,66.0,31.0,"  75,297.34 ",
Applicant 73,Executive,Non-Metro,"  51,505.00 ",2.0,55.0,53.0,"  76,960.48 ",
Applicant 74,Executive,Metro,"  52,474.00 ",3.0,79.0,58.0,"  76,204.89 ",
Applicant 75,Executive,Metro,"  49,172.00 ",2.0,57.0,44.0,"  63,782.20 ",
Applicant 76,Executive,Metro,"  56,916.00 ",3.0,42.0,57.0,"  69,415.11 ",
Applicant 77,Executive,Non-Metro,"  59,386.00 ",1.0,38.0,29.0,"  64,472.36 ",
Applicant 78,Executive,Metro,"  55,748.00 ",3.0,84.0,21.0,"  60,815.42 ",
Applicant 79,Executive,Non-Metro,"  65,574.00 ",2.0,83.0,22.0,"  55,902.83 ",
Applicant 80,Executive,Non-Metro,"  58,541.00 ",4.0,79.0,41.0,"  64,468.29 ",
Applicant 81,Executive,Metro,"  50,672.00 ",4.0,79.0,31.0,"  76,093.36 ",
Applicant 82,Executive,Non-Metro,"  68,071.00 ",1.0,70.0,45.0,"  81,430.49 ",
Applicant 83,Manager,Metro,"  58,815.00 ",4.0,71.0,22.0,"  106,165.08 ",
Applicant 84,Executive,Non-Metro,"  62,493.00 ",3.0,74.0,48.0,"  67,374.71 ",
Applicant 85,Manager,Non-Metro,"  60,182.00 ",4.0,59.0,37.0,"  103,574.45 ",
Applicant 86,Manager,Metro,"  42,941.00 ",1.0,49.0,45.0,"  74,191.43 ",
Applicant 87,Manager,Non-Metro,"  55,505.00 ",2.0,40.0,57.0,"  100,887.85 ",
Applicant 88,Executive,Non-Metro,"  54,114.00 ",3.0,82.0,56.0,"  78,715.16 ",
Applicant 89,Executive,Non-Metro,"  57,670.00 ",1.0,41.0,46.0,"  70,686.71 ",
Applicant 90,Executive,Non-Metro,"  54,361.00 ",2.0,68.0,55.0,"  73,231.75 ",
Applicant 91,Executive,Non-Metro,"  67,083.00 ",4.0,39.0,21.0,"  66,296.73 ",
Applicant 92,Executive,Non-Metro,"  52,483.00 ",2.0,65.0,53.0,"  71,738.23 ",
Applicant 93,Manager,Metro,"  55,581.00 ",4.0,49.0,59.0,"  99,551.34 ",
Applicant 94,Executive,Metro,"  62,243.00 ",1.0,41.0,35.0,"  75,903.42 ",
Applicant 95,Manager,Non-Metro,"  59,293.00 ",1.0,81.0,64.0,"  105,308.78 ",
Applicant 96,Executive,Non-Metro,"  59,707.00 ",3.0,70.0,28.0,"  56,003.61 ",
Applicant 97,Executive,Non-Metro,"  57,726.00 ",4.0,84.0,54.0,"  68,673.29 ",
Applicant 98,Executive,Metro,"  58,401.00 ",4.0,45.0,55.0,"  76,028.50 ",
Applicant 99,Manager,Metro,"  41,228.00 ",2.0,64.0,56.0,"  87,418.05 ",
Applicant 100,Manager,Metro,"  40,945.00 ",1.0,46.0,38.0,"  74,984.02 ",
Applicant 101,Executive,Non-Metro,"  54,794.00 ",4.0,47.0,41.0,"  66,591.29 ",
Applicant 102,Executive,Metro,"  51,692.00 ",2.0,57.0,30.0,"  72,088.04 ",
Applicant 103,Executive,Non-Metro,"  52,305.00 ",1.0,35.0,18.0,"  78,521.17 ",
Applicant 104,Manager,Non-Metro,"  56,680.00 ",4.0,63.0,61.0,"  85,688.72 ",
Applicant 105,Executive,Non-Metro,"  52,300.00 ",4.0,52.0,34.0,"  66,657.86 ",
Applicant 106,Manager,Metro,"  56,710.00 ",2.0,47.0,20.0,"  67,879.02 ",
Applicant 107,Executive,Non-Metro,"  51,351.00 ",1.0,69.0,19.0,"  60,069.68 ",
Applicant 108,Executive,Metro,"  51,022.00 ",2.0,55.0,26.0,"  67,820.31 ",
Applicant 109,Executive,Metro,"  52,096.00 ",3.0,37.0,29.0,"  65,685.02 ",
Applicant 110,Manager,Metro,"  59,099.00 ",2.0,67.0,63.0,"  103,305.30 ",
Applicant 111,Executive,Metro,"  57,677.00 ",4.0,77.0,54.0,"  76,671.69 ",
Applicant 112,Executive,Non-Metro,"  59,343.00 ",3.0,85.0,55.0,"  76,577.99 ",
Applicant 113,Executive,Metro,"  54,767.00 ",1.0,35.0,37.0,"  66,693.98 ",
Applicant 114,Executive,Non-Metro,"  60,869.00 ",1.0,77.0,21.0,"  60,125.97 ",
Applicant 115,Executive,Metro,"  53,949.00 ",4.0,81.0,52.0,"  80,042.11 ",
Applicant 116,Executive,Metro,"  48,707.00 ",4.0,77.0,60.0,"  97,106.11 ",
Applicant 117,Executive,Metro,"  77,911.00 ",1.0,50.0,58.0,"  87,831.62 ",
Applicant 118,Manager,Non-Metro,"  54,183.00 ",1.0,40.0,29.0,"  70,630.95 ",
Applicant 119,Executive,Non-Metro,"  51,099.00 ",3.0,71.0,49.0,"  67,516.63 ",
Applicant 120,Executive,Non-Metro,"  51,591.00 ",1.0,79.0,37.0,"  67,573.29 ",
Applicant 121,Executive,Metro,"  61,057.00 ",1.0,41.0,44.0,"  80,714.79 ",
Applicant 122,Executive,Metro,"  48,280.00 ",4.0,79.0,18.0,"  75,430.51 ",
Applicant 123,Executive,Non-Metro,"  57,606.00 ",4.0,78.0,20.0,"  54,071.79 ",
Applicant 124,Manager,Metro,"  55,440.00 ",4.0,72.0,44.0,"  112,826.26 ",
Applicant 125,Executive,Non-Metro,"  54,055.00 ",1.0,63.0,47.0,"  60,944.33 ",
Applicant 126,Executive,Non-Metro,"  49,862.00 ",3.0,82.0,26.0,"  65,065.52 ",
Applicant 127,Manager,Non-Metro,"  56,204.00 ",2.0,65.0,19.0,"  82,667.77 ",
Applicant 128,Executive,Non-Metro,"  65,161.00 ",2.0,41.0,52.0,"  82,517.59 ",
Applicant 129,Manager,Non-Metro,"  42,143.00 ",3.0,38.0,32.0,"  88,208.37 ",
Applicant 130,Executive,Metro,"  57,924.00 ",4.0,62.0,38.0,"  68,023.41 ",
Applicant 131,Executive,Non-Metro,"  48,755.00 ",2.0,69.0,59.0,"  73,464.75 ",
Applicant 132,Executive,Non-Metro,"  50,926.00 ",3.0,83.0,61.0,"  77,222.00 ",
Applicant 133,Executive,Non-Metro,"  65,158.00 ",3.0,67.0,53.0,"  67,163.57 ",
Applicant 134,Executive,Metro,"  46,073.00 ",4.0,73.0,19.0,"  59,241.32 ",
Applicant 135,Executive,Non-Metro,"  53,110.00 ",4.0,43.0,20.0,"  72,322.79 ",
Applicant 136,Executive,Non-Metro,"  50,180.00 ",1.0,41.0,22.0,"  55,226.53 ",
Applicant 137,Executive,Metro,"  61,124.00 ",3.0,64.0,19.0,"  73,417.07 ",
Applicant 138,Executive,Metro,"  54,583.00 ",3.0,82.0,22.0,"  63,534.87 ",
Applicant 139,Executive,Non-Metro,"  52,400.00 ",3.0,72.0,54.0,"  90,774.04 ",
Applicant 140,Executive,Non-Metro,"  64,264.00 ",1.0,51.0,22.0,"  77,666.95 ",
Applicant 141,Executive,Metro,"  44,197.00 ",3.0,52.0,34.0,"  95,868.30 ",
Applicant 142,Executive,Metro,"  56,273.00 ",1.0,75.0,26.0,"  74,544.57 ",
Applicant 143,Manager,Metro,"  47,481.00 ",4.0,42.0,34.0,"  77,150.63 ",
Applicant 144,Executive,Metro,"  58,053.00 ",1.0,53.0,29.0,"  86,298.82 ",
Applicant 145,Manager,Metro,"  58,071.00 ",4.0,76.0,30.0,"  74,697.64 ",
Applicant 146,Executive,Non-Metro,"  66,845.00 ",1.0,60.0,29.0,"  58,695.65 ",
Applicant 147,Manager,Metro,"  60,396.00 ",3.0,72.0,46.0,"  96,190.72 ",
Applicant 148,Executive,Non-Metro,"  67,056.00 ",3.0,55.0,51.0,"  63,582.13 ",
Applicant 149,Executive,Non-Metro,"  63,823.00 ",4.0,39.0,53.0,"  61,586.14 ",
Applicant 150,Executive,Metro,"  49,475.00 ",3.0,71.0,19.0,"  75,037.68 ",
Applicant 151,Executive,Metro,"  50,330.00 ",3.0,80.0,35.0,"  61,282.09 ",
Applicant 152,Executive,Metro,"  57,858.00 ",4.0,43.0,48.0,"  71,522.23 ",
Applicant 153,Executive,Non-Metro,"  61,627.00 ",3.0,58.0,32.0,"  74,596.33 ",
Applicant 154,Manager,Non-Metro,"  49,733.00 ",1.0,76.0,42.0,"  77,168.22 ",
Applicant 155,Executive,Non-Metro,"  55,308.00 ",2.0,36.0,40.0,"  75,028.75 ",
Applicant 156,Executive,Metro,"  66,048.00 ",4.0,80.0,44.0,"  76,619.74 ",
Applicant 157,Manager,Metro,"  49,405.00 ",1.0,63.0,48.0,"  75,910.11 ",
Applicant 158,Manager,Metro,"  49,810.00 ",1.0,47.0,18.0,"  73,056.77 ",
Applicant 159,Manager,Metro,"  56,330.00 ",4.0,46.0,30.0,"  94,478.70 ",
Applicant 160,Executive,Non-Metro,"  56,485.00 ",2.0,36.0,50.0,"  69,960.25 ",
Applicant 161,Manager,Non-Metro,"  47,053.00 ",2.0,46.0,42.0,"  67,407.05 ",
Applicant 162,Manager,Non-Metro,"  64,179.00 ",4.0,74.0,18.0,"  97,119.39 ",
Applicant 163,Executive,Metro,"  60,385.00 ",4.0,78.0,54.0,"  83,984.48 ",
Applicant 164,Executive,Non-Metro,"  50,963.00 ",2.0,45.0,32.0,"  76,385.23 ",
Applicant 165,Executive,Metro,"  50,024.00 ",1.0,77.0,37.0,"  66,216.70 ",
Applicant 166,Executive,Metro,"  50,334.00 ",2.0,36.0,47.0,"  82,526.93 ",
Applicant 167,Executive,Non-Metro,"  61,054.00 ",3.0,68.0,20.0,"  74,459.25 ",
Applicant 168,Executive,Non-Metro,"  58,629.00 ",3.0,39.0,32.0,"  62,936.70 ",
Applicant 169,Executive,Non-Metro,"  52,519.00 ",2.0,45.0,19.0,"  59,425.89 ",
Applicant 170,Executive,Metro,"  46,993.00 ",3.0,50.0,27.0,"  69,437.63 ",
Applicant 171,Executive,Metro,"  67,559.00 ",4.0,45.0,63.0,"  72,083.49 ",
Applicant 172,Executive,Metro,"  55,944.00 ",2.0,53.0,49.0,"  69,163.36 ",
Applicant 173,Executive,Metro,"  38,709.00 ",3.0,56.0,18.0,"  72,747.12 ",
Applicant 174,Executive,Non-Metro,"  61,130.00 ",3.0,58.0,35.0,"  66,726.94 ",
Applicant 175,Executive,Non-Metro,"  54,941.00 ",2.0,50.0,24.0,"  57,067.63 ",
Applicant 176,Manager,Non-Metro,"  58,639.00 ",2.0,46.0,63.0,"  109,108.12 ",
Applicant 177,Executive,Metro,"  52,098.00 ",2.0,84.0,38.0,"  73,831.46 ",
Applicant 178,Executive,Metro,"  53,618.00 ",2.0,52.0,54.0,"  79,031.20 ",
Applicant 179,Executive,Non-Metro,"  57,261.00 ",4.0,62.0,46.0,"  77,631.46 ",
Applicant 180,Executive,Non-Metro,"  53,158.00 ",4.0,66.0,41.0,"  78,524.15 ",
Applicant 181,Executive,Metro,"  53,511.00 ",1.0,84.0,58.0,"  70,856.24 ",
Applicant 182,Executive,Non-Metro,"  58,408.00 ",2.0,56.0,18.0,"  61,042.81 ",
Applicant 183,Executive,Metro,"  46,722.00 ",2.0,49.0,22.0,"  66,407.61 ",
Applicant 184,Executive,Non-Metro,"  49,331.00 ",1.0,78.0,44.0,"  71,632.13 ",
Applicant 185,Executive,Metro,"  53,717.00 ",2.0,41.0,44.0,"  78,002.78 ",
Applicant 186,Manager,Metro,"  70,258.00 ",4.0,38.0,36.0,"  115,126.75 ",
Applicant 187,Executive,Non-Metro,"  53,186.00 ",3.0,62.0,26.0,"  58,559.16 ",
Applicant 188,Executive,Non-Metro,"  59,273.00 ",1.0,80.0,30.0,"  62,275.25 ",
Applicant 189,Executive,Non-Metro,"  59,466.00 ",3.0,45.0,41.0,"  73,749.44 ",
Applicant 190,Executive,Non-Metro,"  55,639.00 ",1.0,40.0,29.0,"  55,927.32 ",
Applicant 191,Executive,Metro,"  61,138.00 ",3.0,68.0,61.0,"  67,174.81 ",
Applicant 192,Executive,Non-Metro,"  47,831.00 ",4.0,74.0,36.0,"  70,249.63 ",
Applicant 193,Executive,Metro,"  51,919.00 ",4.0,82.0,25.0,"  69,896.22 ",
Applicant 194,Executive,Non-Metro,"  49,310.00 ",1.0,47.0,56.0,"  68,123.80 ",
Applicant 195,Executive,Metro,"  61,973.00 ",1.0,51.0,18.0,"  56,131.76 ",
Applicant 196,Executive,Metro,"  52,475.00 ",3.0,39.0,19.0,"  63,426.48 ",
Applicant 197,Executive,Non-Metro,"  62,262.00 ",3.0,43.0,39.0,"  68,762.60 ",
Applicant 198,Executive,Non-Metro,"  49,159.00 ",3.0,57.0,45.0,"  65,693.05 ",
Applicant 199,Executive,Non-Metro,"  44,451.00 ",1.0,65.0,51.0,"  59,721.74 ",
Applicant 200,Executive,Non-Metro,"  64,873.00 ",3.0,48.0,64.0,"  85,224.19 ",
Applicant 201,Executive,Non-Metro,"  55,261.00 ",1.0,36.0,19.0,"  53,356.72 ",
Applicant 202,Executive,Non-Metro,"  53,405.00 ",1.0,46.0,48.0,"  67,405.54 ",
Applicant 203,Executive,Non-Metro,"  48,982.00 ",3.0,77.0,60.0,"  73,639.06 ",
Applicant 204,Manager,Non-Metro,"  60,286.00 ",1.0,73.0,27.0,"  91,956.84 ",
Applicant 205,Executive,Metro,"  44,712.00 ",2.0,49.0,46.0,"  76,451.55 ",
Applicant 206,Executive,Non-Metro,"  49,882.00 ",2.0,57.0,28.0,"  64,100.13 ",
Applicant 207,Executive,Metro,"  46,791.00 ",3.0,59.0,59.0,"  78,379.79 ",
Applicant 208,Manager,Metro,"  52,585.00 ",3.0,78.0,35.0,"  77,592.94 ",
Applicant 209,Executive,Non-Metro,"  59,130.00 ",1.0,79.0,63.0,"  70,314.89 ",
Applicant 210,Executive,Metro,"  63,061.00 ",4.0,36.0,40.0,"  72,339.71 ",
Applicant 211,Executive,Metro,"  55,293.00 ",4.0,39.0,20.0,"  75,774.95 ",
Applicant 212,Executive,Metro,"  54,222.00 ",4.0,40.0,40.0,"  71,232.98 ",
Applicant 213,Executive,Metro,"  48,720.00 ",3.0,66.0,24.0,"  61,022.27 ",
Applicant 214,Executive,Non-Metro,"  49,971.00 ",2.0,77.0,34.0,"  69,437.41 ",
Applicant 215,Executive,Non-Metro,"  58,774.00 ",4.0,70.0,45.0,"  73,028.67 ",
Applicant 216,Executive,Non-Metro,"  59,781.00 ",1.0,46.0,41.0,"  76,811.45 ",
Applicant 217,Executive,Non-Metro,"  54,690.00 ",3.0,71.0,53.0,"  65,923.72 ",
Applicant 218,Executive,Metro,"  43,494.00 ",1.0,60.0,27.0,"  68,676.93 ",
Applicant 219,Executive,Non-Metro,"  54,356.00 ",1.0,69.0,26.0,"  67,766.33 ",
Applicant 220,Executive,Non-Metro,"  44,261.00 ",4.0,64.0,24.0,"  75,535.50 ",
Applicant 221,Executive,Non-Metro,"  61,570.00 ",3.0,74.0,34.0,"  75,762.91 ",
Applicant 222,Executive,Non-Metro,"  59,600.00 ",3.0,52.0,53.0,"  75,588.76 ",
Applicant 223,Executive,Metro,"  52,971.00 ",2.0,56.0,32.0,"  70,086.07 ",
Applicant 224,Manager,Metro,"  57,963.00 ",2.0,60.0,19.0,"  96,125.18 ",
Applicant 225,Manager,Metro,"  44,781.00 ",2.0,75.0,42.0,"  80,753.62 ",
Applicant 226,Executive,Metro,"  62,903.00 ",4.0,82.0,55.0,"  71,048.24 ",
Applicant 227,Executive,Metro,"  58,282.00 ",4.0,78.0,28.0,"  71,454.90 ",
Applicant 228,Executive,Non-Metro,"  66,411.00 ",1.0,47.0,58.0,"  87,222.87 ",
Applicant 229,Executive,Non-Metro,"  58,109.00 ",4.0,44.0,41.0,"  75,683.99 ",
Applicant 230,Executive,Metro,"  51,572.00 ",4.0,35.0,47.0,"  78,834.20 ",
Applicant 231,Executive,Non-Metro,"  63,031.00 ",1.0,48.0,42.0,"  72,943.91 ",
Applicant 232,Executive,Non-Metro,"  54,081.00 ",1.0,42.0,59.0,"  66,774.11 ",
Applicant 233,Executive,Non-Metro,"  45,676.00 ",4.0,81.0,19.0,"  58,845.40 ",
Applicant 234,Executive,Metro,"  52,116.00 ",2.0,60.0,59.0,"  75,689.83 ",
Applicant 235,Executive,Metro,"  46,127.00 ",1.0,56.0,39.0,"  68,623.41 ",
Applicant 236,Manager,Non-Metro,"  48,343.00 ",3.0,78.0,40.0,"  68,392.67 ",
Applicant 237,Executive,Non-Metro,"  56,666.00 ",3.0,47.0,18.0,"  53,730.63 ",
Applicant 238,Executive,Metro,"  67,170.00 ",4.0,55.0,31.0,"  69,913.11 ",
Applicant 239,Manager,Metro,"  51,096.00 ",3.0,70.0,19.0,"  80,820.27 ",
Applicant 240,Executive,Metro,"  64,120.00 ",2.0,35.0,44.0,"  71,001.53 ",
Applicant 241,Manager,Non-Metro,"  59,001.00 ",2.0,81.0,23.0,"  89,974.05 ",
Applicant 242,Executive,Non-Metro,"  45,187.00 ",3.0,74.0,33.0,"  71,161.34 ",
Applicant 243,Executive,Non-Metro,"  53,027.00 ",4.0,69.0,55.0,"  106,846.34 ",
Applicant 244,Executive,Metro,"  55,858.00 ",4.0,47.0,40.0,"  77,673.29 ",
Applicant 245,Manager,Non-Metro,"  49,074.00 ",3.0,58.0,63.0,"  84,287.39 ",
Applicant 246,Executive,Metro,"  54,121.00 ",3.0,51.0,54.0,"  84,320.29 ",
Applicant 247,Executive,Non-Metro,"  61,285.00 ",3.0,44.0,60.0,"  77,283.59 ",
Applicant 248,Executive,Metro,"  63,140.00 ",1.0,44.0,24.0,"  68,416.86 ",
Applicant 249,Executive,Metro,"  44,907.00 ",1.0,60.0,19.0,"  70,186.19 ",
Applicant 250,Executive,Metro,"  52,054.00 ",2.0,67.0,29.0,"  73,394.09 ",
Applicant 251,Manager,Metro,"  44,353.00 ",3.0,75.0,18.0,"  70,056.31 ",
Applicant 252,Manager,Non-Metro,"  54,987.00 ",3.0,69.0,63.0,"  111,873.30 ",
Applicant 253,Manager,Metro,"  54,808.00 ",2.0,51.0,54.0,"  101,785.04 ",
Applicant 254,Executive,Metro,"  58,153.00 ",3.0,55.0,27.0,"  76,298.90 ",
Applicant 255,Manager,Metro,"  51,912.00 ",2.0,66.0,50.0,"  113,141.14 ",
Applicant 256,Executive,Non-Metro,"  51,735.00 ",1.0,67.0,55.0,"  71,890.09 ",
Applicant 257,Manager,Metro,"  55,928.00 ",4.0,75.0,56.0,"  108,750.87 ",
Applicant 258,Executive,Non-Metro,"  61,132.00 ",1.0,72.0,38.0,"  68,120.03 ",
Applicant 259,Executive,Metro,"  47,560.00 ",4.0,70.0,51.0,"  67,760.38 ",
Applicant 260,Manager,Metro,"  53,080.00 ",3.0,68.0,19.0,"  97,151.38 ",
Applicant 261,Executive,Non-Metro,"  46,136.00 ",1.0,73.0,58.0,"  81,234.60 ",
Applicant 262,Manager,Non-Metro,"  54,869.00 ",2.0,76.0,20.0,"  72,296.79 ",
Applicant 263,Manager,Metro,"  53,471.00 ",3.0,58.0,52.0,"  82,735.40 ",
Applicant 264,Manager,Metro,"  66,355.00 ",1.0,81.0,19.0,"  99,815.96 ",
Applicant 265,Executive,Non-Metro,"  62,836.00 ",4.0,41.0,53.0,"  72,755.38 ",
Applicant 266,Manager,Metro,"  70,468.00 ",2.0,38.0,46.0,"  111,172.92 ",
Applicant 267,Manager,Metro,"  45,743.00 ",4.0,45.0,40.0,"  80,222.50 ",
Applicant 268,Executive,Non-Metro,"  54,083.00 ",3.0,83.0,59.0,"  70,531.82 ",
Applicant 269,Executive,Metro,"  50,573.00 ",3.0,60.0,45.0,"  70,207.24 ",
Applicant 270,Executive,Metro,"  46,637.00 ",4.0,46.0,49.0,"  66,843.75 ",
Applicant 271,Executive,Metro,"  50,393.00 ",4.0,55.0,18.0,"  60,213.58 ",
Applicant 272,Manager,Metro,"  63,916.00 ",1.0,70.0,50.0,"  105,334.50 ",
Applicant 273,Executive,Metro,"  62,911.00 ",3.0,65.0,41.0,"  65,659.69 ",
Applicant 274,Executive,Metro,"  56,876.00 ",1.0,35.0,50.0,"  83,092.16 ",
Applicant 275,Executive,Metro,"  54,032.00 ",1.0,38.0,25.0,"  66,571.17 ",
Applicant 276,Executive,Non-Metro,"  52,888.00 ",4.0,76.0,47.0,"  78,083.21 ",
Applicant 277,Executive,Metro,"  43,457.00 ",1.0,74.0,19.0,"  62,954.41 ",
Applicant 278,Executive,Non-Metro,"  51,281.00 ",3.0,55.0,22.0,"  66,298.70 ",
Applicant 279,Executive,Metro,"  54,806.00 ",2.0,57.0,59.0,"  82,475.16 ",
Applicant 280,Executive,Non-Metro,"  49,646.00 ",1.0,59.0,51.0,"  74,374.60 ",
